"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_eval[1+2-3]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_foo[5-1]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_foo[3-1]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_foo[3-2]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_foo[5-2]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","1","","test_mark_parametrize","","","","test_eval_01[3+7-10]",""
"skipped","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_login[lili]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_foo[4-2]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","1","","test_mark_parametrize","","","","test_eval_01[2+5-7]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_foo[4-1]",""
"skipped","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_login[xiaoming]",""
"failed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","0","","test_mark_parametrize","","","","test_eval[3+7-9]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","1","","test_mark_parametrize","","","","test_eval_01[1+2-3]",""
"passed","Fri Dec 24 20:46:03 CST 2021","Fri Dec 24 20:46:03 CST 2021","1","","test_mark_parametrize","","","","test_eval[2+5-7]",""
